Province/State;Country/Region;Last Update;Confirmed;Deaths;Recovered
;Ukraine;2020-03-17T19:33:02;14;2;0
;Maldives;2020-03-15T18:20:18;13;0;0
Macau;China;2020-03-17T04:32:18;12;0;10
;Jamaica;2020-03-17T12:13:16;12;0;2
;New Zealand;2020-03-17T11:53:10;12;0;0
Vermont;US;2020-03-16T17:13:23;12;0;0
;Bolivia;2020-03-16T14:38:45;11;0;0
;French Guiana;2020-03-16T14:38:46;11;0;0
Missouri;US;2020-03-17T23:33:02;11;0;0
South Dakota;US;2020-03-17T23:33:02;11;1;0
Wyoming;US;2020-03-17T23:53:03;11;0;0
;Bangladesh;2020-03-17T12:13:16;10;0;3
;Cameroon;2020-03-17T15:53:13;10;0;0
Hawaii;US;2020-03-17T17:33:03;10;0;0
;Uzbekistan;2020-03-17T12:13:16;10;0;0
Reunion;France;2020-03-17T11:13:29;9;0;0
;Paraguay;2020-03-17T12:13:16;9;0;0
;Reunion;2020-03-17T07:15:25;9;0;0
Montana;US;2020-03-17T17:33:03;9;0;0
Grand Princess;Canada;2020-03-17T03:13:18;8;0;0
Manitoba;Canada;2020-03-17T19:33:03;8;0;0
New Brunswick;Canada;2020-03-17T19:33:03;8;0;0
;Honduras;2020-03-17T12:13:16;8;0;0
Idaho;US;2020-03-17T23:33:02;8;0;0
Tasmania;Australia;2020-03-16T14:38:46;7;0;0
Nova Scotia;Canada;2020-03-17T19:33:03;7;0;0
Saskatchewan;Canada;2020-03-16T20:13:20;7;0;0
French Guiana;France;2020-03-17T07:33:03;7;0;0
;Ghana;2020-03-17T19:33:02;7;0;0
;Guyana;2020-03-17T10:53:03;7;1;0
;Liechtenstein;2020-03-17T12:13:16;7;0;0
;Monaco;2020-03-16T14:38:45;7;0;0
;Rwanda;2020-03-17T02:33:10;7;0;0
Guadeloupe;France;2020-03-17T07:33:03;6;0;0
;Guatemala;2020-03-17T12:13:16;6;1;0
Channel Islands;United Kingdom;2020-03-16T14:38:45;6;0;0
;Cote d'Ivoire;2020-03-17T14:33:05;5;0;1
;Cuba;2020-03-17T15:53:13;5;0;0
;Ethiopia;2020-03-16T14:38:45;5;0;0
;Mongolia;2020-03-17T15:53:13;5;0;0
;Trinidad and Tobago;2020-03-17T15:53:13;5;0;0
Puerto Rico;US;2020-03-16T00:22:11;5;0;0
;Seychelles;2020-03-17T12:33:06;4;0;0
;Aruba;2020-03-17T12:33:07;3;0;0
Newfoundland and Labrador;Canada;2020-03-17T17:53:03;3;0;0
;Congo (Kinshasa);2020-03-17T12:33:06;3;0;0
French Polynesia;France;2020-03-15T18:20:19;3;0;0
Saint Barthelemy;France;2020-03-16T14:38:45;3;0;0
;Guam;2020-03-16T02:13:16;3;0;0
;Kenya;2020-03-16T00:22:11;3;0;0
Curacao;Netherlands;2020-03-17T12:33:07;3;0;0
;Nigeria;2020-03-17T12:33:06;3;0;0
Alaska;US;2020-03-17T17:33:03;3;0;0
Guam;US;2020-03-15T18:20:19;3;0;0
North Dakota;US;2020-03-17T23:33:02;3;0;0
Gibraltar;United Kingdom;2020-03-17T02:53:03;3;0;1
Australian Capital Territory;Australia;2020-03-16T14:38:46;2;0;0
;Barbados;2020-03-17T16:13:14;2;0;0
St Martin;France;2020-03-14T16:33:03;2;0;0
;Kosovo;2020-03-15T18:20:19;2;0;0
;Montenegro;2020-03-17T21:33:02;2;0;0
;Namibia;2020-03-14T16:33:03;2;0;0
;Saint Lucia;2020-03-17T04:32:19;2;0;0
Virgin Islands;US;2020-03-17T20:53:02;2;0;0
;Antigua and Barbuda;2020-03-15T18:20:19;1;0;0
Northern Territory;Australia;2020-03-14T01:53:03;1;0;0
;Benin;2020-03-16T14:38:46;1;0;0
;Bhutan;2020-03-13T22:22:02;1;0;0
Prince Edward Island;Canada;2020-03-15T02:13:21;1;0;0
;Central African Republic;2020-03-16T03:33:03;1;0;0
Tibet;China;2020-03-11T02:18:14;1;0;1
;Congo (Brazzaville);2020-03-16T14:38:45;1;0;0
;Equatorial Guinea;2020-03-15T06:41:54;1;0;0
;Eswatini;2020-03-15T06:41:54;1;0;0
Mayotte;France;2020-03-16T14:38:45;1;0;0
;Gabon;2020-03-14T13:33:04;1;0;0
;Greenland;2020-03-16T16:53:06;1;0;0
;Guinea;2020-03-15T06:41:54;1;0;0
;Holy See;2020-03-13T22:22:02;1;0;0
;Liberia;2020-03-17T12:13:16;1;0;0
;Mauritania;2020-03-15T18:20:19;1;0;0
;Mayotte;2020-03-16T14:38:45;1;0;0
;Nepal;2020-03-13T22:22:03;1;0;1
;Saint Vincent and the Grenadines;2020-03-14T16:33:03;1;0;0
;Somalia;2020-03-16T14:38:46;1;0;0
;Sudan;2020-03-14T01:13:32;1;1;0
;Suriname;2020-03-14T16:33:03;1;0;0
;Tanzania;2020-03-17T01:33:03;1;0;0
;The Bahamas;2020-03-16T03:33:03;1;0;0
;The Gambia;2020-03-17T23:33:02;1;0;0
;Togo;2020-03-13T22:22:02;1;0;0
West Virginia;US;2020-03-17T23:33:02;1;0;0
Cayman Islands;United Kingdom;2020-03-16T14:53:04;1;1;0
From Diamond Princess;Australia;2020-03-14T02:33:04;0;0;0
;Guernsey;2020-03-17T18:33:03;0;0;0
;Jersey;2020-03-17T18:33:03;0;0;0
;Puerto Rico;2020-03-17T16:13:14;0;0;0
;Republic of the Congo;2020-03-17T21:33:03;0;0;0
;occupied Palestinian territory;2020-03-11T20:53:02;0;0;0
